id,texto
1,"TransMilenio en hora pico es un caos total, no hay forma de moverse"
2,"Llevo 40 minutos esperando un bus del SITP y no aparece, pesimo servicio"
3,"TransMilenio subio el pasaje otra vez, cada vez mas caro y peor servicio"
4,"Inseguridad total en las estaciones de TransMilenio, nadie hace nada"
5,Los vendedores ambulantes en TransMilenio hacen mas dificil el transito
6,"App TransMiApp no funciona, muestra rutas que no existen"
7,El sistema SITP provisional sigue siendo un desastre logistico
8,"Los conductores de SITP manejan como locos, tuve un susto terrible"
9,Parques llenos de habitantes de calle y la Alcaldia no hace nada
10,La Alcaldia prometio arreglar las vias de mi barrio hace 3 anos y nada
11,La pagina web de la Alcaldia es imposible de usar para hacer tramites
12,Impuestos en Bogota son altisimos y no se ven reflejados en obras
13,Las vias del sur de Bogota estan completamente abandonadas por la Alcaldia
14,"Bogota esta cada vez mas sucia, faltan campanas de limpieza de la Alcaldia"
15,La reforma tributaria del gobierno va a quebrar a la clase media
16,"El gobierno nacional no cumple lo prometido en campana, pura demagogia"
17,Congreso aumenta sus propios salarios mientras el pueblo sufre
18,Los salarios de los congresistas son una burla para el pueblo trabajador
19,"El paro nacional fue ignorado por el gobierno, falta de dialogo"
20,Ministerio de Salud deberia regular mejor los precios de los medicamentos
21,Ministerio de TIC prometio internet rural y nunca llego a la vereda
22,"Costos de la energia electrica son impagables, necesitamos regulacion"
23,"Recibo del agua llego con un cobro exagerado, voy a poner la queja"
24,"Atencion en la EPS fue nefasta, tres horas esperando para una cita"
25,"Corrupcion en el Ministerio de Transporte, otro escandalo sin castigo"
26,ICETEX deberia bajar los intereses para los jovenes puedan estudiar
27,Me robaron el celular en el centro y la Policia no hizo nada
28,"Inseguridad desbordada en Bogota, esto parece tierra de nadie"
29,Policias acosando a vendedores ambulantes en vez de perseguir ladrones
30,"Aumento de homicidios en Cali, el gobierno debe enviar mas fuerza publica"
31,"Denuncie un robo y la Fiscalia nunca me llamo, justicia inexistente"
32,"Universidades publicas en paro otra vez, afectando a miles de estudiantes"
33,Profesor fue agredido por un estudiante y el colegio no tomo medidas
34,"Educacion en zonas rurales sigue siendo de pesima calidad, urge atencion"
35,Obras del metro tienen vuelto nada el trafico en la Avenida Caracas
36,Huecos en las vias de Bogota son un peligro constante para motociclistas
37,"Malla vial de Bogota es un desastre, promesas y mas promesas sin cumplir"
38,Cerros orientales estan siendo invadidos por construcciones ilegales
39,Rio Bogota sigue siendo una cloaca a pesar de las plantas de tratamiento
40,Humedales de Bogota estan siendo destruidos por urbanizadores ilegales
41,"Sistema de salud colombiano es un desastre, las EPS solo piensan en plata"
42,"Faltan medicamentos esenciales en los hospitales publicos, una verguenza"
43,Las EPS ponen trabas para autorizar medicamentos de alto costo
44,"Cedula digital fue un fracaso, la app nunca funciona correctamente"
45,Ministerio de TIC prometio 5G para 2024 y vamos para 2026 sin nada
46,Colombia Compra Eficiente es un laberinto burocratico sin solucion
47,Inflacion esta disparada y el salario minimo no alcanza para nada
48,"Banco de la Republica subio las tasas de interes, golpe a los creditos"
49,Desempleo en Colombia sigue siendo un problema grave sin solucion
50,Tenderos del barrio estan quebrando por los altos impuestos gubernamentales
51,Escandalo de corrupcion salpica al Ministerio de las TIC nuevamente
52,Contraloria encontro irregularidades en contratos de alimentacion escolar
53,Sobrecostos en las obras del metro de Bogota huelen a corrupcion
54,Recursos de la paz estan siendo desviados para financiar campanas politicas
55,Reforma a la salud preocupa a los medicos y pacientes por igual
56,"Servicio de energia es pesimo en mi barrio, se va la luz cada semana"
57,"Calidad del aire en Bogota es pesima, urge restringir vehiculos viejos"
58,Presidente debe explicar los escandalos de corrupcion de su gabinete
59,"Atencion en el hospital fue nefasta, horas de espera y mal trato"
60,"Elefante blanco en el municipio, hospital construido hace 5 anos sin equipar"
61,Procuraduria destituyo a un alcalde por malversacion de fondos publicos
62,Fiscalia investiga a varios congresistas por compra de votos en el Caribe
63,Ministerio de Minas autorizo exploraciones que destruyen el medio ambiente
64,"Reforma agraria prometida por el gobierno apenas avanza, puro discurso"
65,Paro de maestros fue reprimido con violencia por la fuerza publica
66,"Vias terciarias del campo estan olvidadas, ni el ministerio las arregla"
67,El acueducto no arregla la tuberia danada de la cuadra hace meses
68,Calidad del transporte publico empeora cada dia sin respuesta oficial
69,TransMilenio ha mejorado bastante con los nuevos buses electricos
70,"Buses nuevos de TransMilenio son comodos y silenciosos, buen avance"
71,Estacion de la 26 esta impecable despues de la remodelacion
72,"TransMiCable en Ciudad Bolivar fue un exito, conecto a miles de familias"
73,"Hoy el TransMilenio llego puntual, algo historico en Bogota"
74,"Nueva ruta de SITP conecta mi barrio con el centro, excelente iniciativa"
75,Excelente la jornada de vacunacion organizada por la Alcaldia en mi barrio
76,Alcaldia de Bogota entrego computadores a estudiantes de escasos recursos
77,"Asisti a un evento cultural gratuito de la Alcaldia, muy bien organizado"
78,"Renovacion del centro historico quedo espectacular, felicitaciones"
79,Centros de atencion de la Alcaldia son rapidos y eficientes
80,Gracias a la Alcaldia por los mercados que entregaron en la pandemia
81,"Alcaldia organizo un concierto gratuito en Simon Bolivar, maravilloso"
82,Nuevo sistema de bicicletas compartidas de la Alcaldia es un acierto
83,Presidente anuncio nuevas medidas economicas para beneficiar a los pobres
84,"Ministerio de Educacion amplio las becas para universitarios, gran noticia"
85,Nuevo programa de vivienda del gobierno ya entrego 5000 casas
86,Politica exterior del actual gobierno ha mejorado las relaciones regionales
87,Ministerio de Cultura lanzo un plan de lectura que llega a zonas rurales
88,Gobierno entrego subsidios a campesinos afectados por el cambio climatico
89,Reforma laboral propuesta por el gobierno protege mejor a los trabajadores
90,"Gobierno y guerrilla retoman dialogos de paz, esperanza para el pais"
91,Inversion en ciencia y tecnologia subio gracias al nuevo gobierno
92,Atencion en el hospital publico fue rapida y los medicos muy profesionales
93,Hospital de Kennedy fue remodelado con equipos de ultima generacion
94,"Servicio de gas natural llego por fin a nuestro municipio, un avance enorme"
95,"Empresa de acueducto reparo una fuga que teniamos hace meses, buen trabajo"
96,Festival Iberoamericano de Teatro estuvo increible este ano
97,Feria del Libro de Bogota estuvo muy organizada y con buenos descuentos
98,"Asisti al Jazz al Parque, una experiencia cultural maravillosa"
99,"Evento gratuito de la Filarmonica en el parque, ojala hicieran mas seguido"
100,"Ciclovia de los domingos es lo mejor que tiene Bogota, deberian extenderla"
101,Carnaval de Negros y Blancos en Pasto es patrimonio que debemos preservar
